Source,Target,CellType
POU5F1,POU5F1,MES
CEBPB,GFI1,MES
CEBPB,RUNX1,MES
CEBPB,TAL1,MES
CEBPB,FLI1,MES
CEBPB,ESRRB,HB
CEBPB,TAL1,HB
CEBPB,RUNX1,HB
CEBPB,GFI1,HB
CEBPB,GATA2,HB
TAL1,TAL1,HB
TAL1,FLI1,HB
TAL1,CEBPB,HB
TAL1,ESRRB,HB
TAL1,GFI1B,HB
TAL1,GATA1,HB
TAL1,GATA2,HB
TAL1,GFI1,HB
TAL1,RUNX1,HB
TAL1,LMO2,HB
LMO2,LMO2,HB
LMO2,TAL1,HB
LMO2,FLI1,HB
LMO2,ESRRB,HB
LMO2,SPI1,HB
LMO2,GFI1B,HB
LMO2,GATA1,HB
LMO2,GATA2,HB
LMO2,RUNX1,HB
LMO2,MEIS1,HB
LMO2,GFI1,HB
GATA2,GATA2,HB
GATA2,GFI1,HB
GATA2,TAL1,HB
CEBPB,FLI1,HE
CEBPB,TAL1,HE
FLI1,ELK4,HE
FLI1,FLI1,HE
FLI1,TAL1,HE
FLI1,CEBPB,HE
FLI1,ESRRB,HE
FLI1,SOX2,HE
FLI1,SPI1,HE
FLI1,GFI1B,HE
FLI1,GATA2,HE
FLI1,GFI1,HE
FLI1,MEIS1,HE
FLI1,RUNX1,HE
TAL1,TAL1,HE
TAL1,CEBPB,HE
TAL1,SOX2,HE
TAL1,GFI1B,HE
TAL1,ESRRB,HE
TAL1,GATA2,HE
TAL1,RUNX1,HE
TAL1,GFI1,HE
TAL1,MEIS1,HE
TAL1,LMO2,HE
LMO2,ESRRB,HE
LMO2,FLI1,HE
LMO2,TAL1,HE
LMO2,SOX2,HE
LMO2,RUNX1,HE
LMO2,MEIS1,HE
LMO2,GFI1B,HE
LMO2,GFI1,HE
MEIS1,GFI1,HE
MEIS1,ESRRB,HE
MEIS1,FLI1,HE
MEIS1,RUNX1,HE
