Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,ChIP_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Strain
SRR2035213,ChIP-Seq,50,2812030100,PRJNA284539,SAMN03703234,1760118429,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Cebpb Santa Cruz sc150,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1035382,GSM1692840,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:26:00Z,1,GSM1692840,Hemangioblast,SRP058578,129
SRR2035214,ChIP-Seq,40,2241967120,PRJNA284539,SAMN03703235,1495070848,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Gata2 Santa Cruz sc267,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1035383,GSM1692841,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:26:00Z,1,GSM1692841,Hemangioblast,SRP058578,129
SRR2035215,ChIP-Seq,40,1127740440,PRJNA284539,SAMN03703235,655990115,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Gata2 Santa Cruz sc267,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1035383,GSM1692841,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:20:00Z,1,GSM1692841,Hemangioblast,SRP058578,129
SRR2035216,ChIP-Seq,40,1172316520,PRJNA284539,SAMN03703235,660488399,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Gata2 Santa Cruz sc267,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1035383,GSM1692841,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:19:00Z,1,GSM1692841,Hemangioblast,SRP058578,129
SRR2035217,ChIP-Seq,36,934771824,PRJNA284539,SAMN03703236,481053680,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Lmo2 R&D systems AF2726,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1035384,GSM1692842,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:19:00Z,1,GSM1692842,Hemangioblast,SRP058578,129
SRR2035218,ChIP-Seq,40,827107960,PRJNA284539,SAMN03703236,809142758,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Lmo2 R&D systems AF2726,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1035384,GSM1692842,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:21:00Z,1,GSM1692842,Hemangioblast,SRP058578,129
SRR2035219,ChIP-Seq,36,822781368,PRJNA284539,SAMN03703237,531935181,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Tal1 Santa Cruz sc12984,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1035385,GSM1692843,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:19:00Z,1,GSM1692843,Hemangioblast,SRP058578,129
SRR2035220,ChIP-Seq,40,1301661920,PRJNA284539,SAMN03703237,778707350,"ES derived Hemangioblasts (Bry.GFP+\, FLK1+)",GEO,Tal1 Santa Cruz sc12984,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1035385,GSM1692843,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:23:00Z,1,GSM1692843,Hemangioblast,SRP058578,129
SRR2035221,ChIP-Seq,40,1638916960,PRJNA284539,SAMN03703238,1056741720,"ES derived Hemogenic endothelium (Bry.GFP+\, Tie2+/Ckit+/CD41-)",GEO,Cebpb Santa Cruz sc150,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1035386,GSM1692844,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:23:00Z,1,GSM1692844,Hemogenic Endothelium,SRP058578,129
SRR2035222,ChIP-Seq,40,555648720,PRJNA284539,SAMN03703238,334494898,"ES derived Hemogenic endothelium (Bry.GFP+\, Tie2+/Ckit+/CD41-)",GEO,Cebpb Santa Cruz sc150,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1035386,GSM1692844,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-02-26T00:00:00Z,2015-05-21T11:21:00Z,1,GSM1692844,Hemogenic Endothelium,SRP058578,129
